iter	Passed	Remaining
0	141	141703
1	142	71232
2	143	47703
3	144	36029
4	145	29015
5	146	24310
6	147	20923
7	148	18401
8	149	16442
9	150	14868
10	151	13583
11	152	12525
12	153	11625
13	153	10839
14	154	10161
15	155	9565
16	156	9037
17	157	8585
18	158	8174
19	159	7805
20	160	7468
21	161	7159
22	162	6881
23	163	6651
24	164	6416
25	165	6193
26	166	5985
27	166	5795
28	167	5617
29	168	5463
30	169	5312
31	170	5166
32	171	5032
33	172	4906
34	173	4783
35	174	4669
36	175	4565
37	176	4464
38	177	4365
39	177	4269
40	179	4194
41	180	4108
42	181	4029
43	182	3956
44	182	3883
45	183	3813
46	184	3746
47	185	3680
48	186	3617
49	187	3562
50	188	3504
51	189	3449
52	190	3395
53	190	3344
54	191	3294
55	192	3249
56	193	3208
57	194	3166
58	195	3124
59	196	3081
60	197	3039
61	198	3001
62	199	2974
63	201	2939
64	201	2904
65	202	2869
66	203	2835
67	204	2802
68	205	2773
69	206	2741
70	207	2710
71	207	2680
72	208	2650
73	210	2630
74	211	2606
75	212	2586
76	213	2563
77	214	2539
78	215	2514
79	216	2491
80	218	2480
81	220	2464
82	220	2437
83	221	2418
84	223	2404
85	224	2386
86	225	2367
87	226	2350
88	227	2330
89	228	2310
90	229	2291
91	231	2280
92	231	2262
93	232	2243
94	233	2225
95	234	2208
96	235	2190
97	236	2174
98	237	2160
99	238	2143
100	239	2128
101	240	2113
102	240	2098
103	242	2085
104	243	2071
105	244	2058
106	244	2043
107	245	2029
108	246	2015
109	247	2001
110	248	1988
111	249	1977
112	250	1965
113	251	1951
114	252	1940
115	253	1929
116	253	1915
117	254	1903
118	255	1894
119	256	1884
120	257	1873
121	258	1861
122	259	1850
123	260	1839
124	261	1830
125	262	1822
126	263	1811
127	264	1801
128	265	1791
129	266	1781
130	266	1770
131	267	1761
132	268	1752
133	269	1742
134	270	1733
135	271	1723
136	272	1714
137	272	1704
138	273	1695
139	274	1688
140	275	1679
141	276	1669
142	277	1660
143	277	1651
144	278	1643
145	279	1635
146	280	1629
147	281	1621
148	282	1613
149	283	1605
150	284	1598
151	285	1590
152	286	1583
153	286	1576
154	287	1568
155	288	1560
156	289	1554
157	290	1547
158	291	1539
159	291	1532
160	292	1524
161	293	1517
162	294	1510
163	295	1504
164	295	1497
165	296	1490
166	297	1484
167	298	1478
168	299	1472
169	300	1466
170	301	1460
171	302	1453
172	302	1448
173	303	1442
174	304	1436
175	305	1431
176	306	1425
177	307	1419
178	308	1413
179	308	1407
180	309	1401
181	310	1396
182	311	1391
183	312	1386
184	313	1381
185	314	1376
186	315	1371
187	316	1365
188	317	1361
189	318	1356
190	319	1351
191	320	1346
192	320	1341
193	321	1336
194	322	1331
195	323	1326
196	324	1322
197	325	1317
198	325	1311
199	326	1306
200	327	1301
201	328	1296
202	328	1291
203	329	1287
204	330	1283
205	331	1278
206	332	1274
207	333	1269
208	334	1264
209	335	1260
210	335	1256
211	336	1252
212	337	1248
213	338	1243
214	339	1238
215	340	1234
216	340	1229
217	341	1225
218	342	1221
219	343	1218
220	344	1213
221	345	1209
222	345	1205
223	346	1201
224	347	1197
225	348	1195
226	349	1191
227	350	1187
228	351	1184
229	352	1180
230	353	1176
231	354	1173
232	355	1170
233	356	1166
234	357	1162
235	357	1158
236	358	1155
237	359	1151
238	360	1147
239	361	1144
240	362	1140
241	363	1137
242	363	1133
243	364	1129
244	365	1126
245	366	1122
246	367	1119
247	368	1116
248	368	1112
249	369	1109
250	370	1105
251	371	1102
252	372	1098
253	373	1095
254	374	1093
255	375	1089
256	375	1086
257	376	1082
258	377	1079
259	378	1076
260	379	1073
261	380	1071
262	381	1067
263	382	1065
264	382	1061
265	383	1058
266	384	1055
267	385	1052
